ID	Pathway Number for MaAsLin	MLDAfe	MLDIgar	MLDIgua	MLDRV	Merged_LrAfef	Merged_LrIgarf	Merged_LrNEs1f	Merged_LrNEs2f	Merged_LrRVf	Merged_LrStH1f	Merged_LrStH2f	P1	P2	P3	P4	P7	P8	PoolRosalia	SAfe	SIgar	SIgua
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis|g__Escherichia.s__Escherichia_coli	345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.71507	0	0	0	0	0	0
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis|g__Ewingella.s__Ewingella_americana	346	0	0	0	0	0	0	0	0	0	0	0	19.2909	0	0	0	0	0	0	0	0	0
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis|g__Kluyvera.s__Kluyvera_ascorbata	347	0	0	0	0	0	0	0	0	0	0	0	14.743	0	0	0	0	0	0	0	0	0
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis|g__Serratia.s__Serratia_marcescens	348	0	0	0	0	0	0	0	0	0	0	0	0	0	67.2618	38.0485	0	0	0	0	0	0
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis|unclassified	349	0	0	0	0	0	0	0	0	0	0	0	11.5474	17.8981	0	3.81467	20.5316	0	0	0	0	0
METHGLYUT-PWY: superpathway of methylglyoxal degradation	350	0	0	0	0	0	0	0	0	0	0	0	0	28.4184	0	7.2744	22.3704	0	0	0	0	0
METSYN-PWY: L-homoserine and L-methionine biosynthesis	351	0	0	0	0	0	0	0	65.419	0	0	0	84.6365	135.212	140.346	101.663	117.72	0	0	0	0	0
METSYN-PWY: L-homoserine and L-methionine biosynthesis|g__Burkholderia.s__Burkholderia_vietnamiensis	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.0929	0	0	0	0	0
METSYN-PWY: L-homoserine and L-methionine biosynthesis|g__Citrobacter.s__Citrobacter_europaeus	353	0	0	0	0	0	0	0	0	0	0	0	5.24292	0	0	0	0	0	0	0	0	0
METSYN-PWY: L-homoserine and L-methionine biosynthesis|g__Citrobacter.s__Citrobacter_portucalensis	354	0	0	0	0	0	0	0	0	0	0	0	6.08881	0	0	0	0	0	0	0	0	0
METSYN-PWY: L-homoserine and L-methionine biosynthesis|g__Escherichia.s__Escherichia_coli	355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.9852	0	0	0	0	0	0
METSYN-PWY: L-homoserine and L-methionine biosynthesis|g__Ewingella.s__Ewingella_americana	356	0	0	0	0	0	0	0	0	0	0	0	20.0889	0	0	0	0	0	0	0	0	0
METSYN-PWY: L-homoserine and L-methionine biosynthesis|g__Kluyvera.s__Kluyvera_ascorbata	357	0	0	0	0	0	0	0	0	0	0	0	15.801	0	0	0	0	0	0	0	0	0
METSYN-PWY: L-homoserine and L-methionine biosynthesis|g__Serratia.s__Serratia_marcescens	358	0	0	0	0	0	0	0	0	0	0	0	0	0	97.0754	40.8347	0	0	0	0	0	0
METSYN-PWY: L-homoserine and L-methionine biosynthesis|unclassified	359	0	0	0	0	0	0	0	0	0	0	0	10.1289	19.404	0	3.38812	18.6406	0	0	0	0	0
NAD-BIOSYNTHESIS-II: NAD salvage pathway II	360	0	0	0	0	0	58.3006	0	0	0	14.2868	0	83.815	34.2354	0	32.0365	30.2056	0	0	0	0	0
NAD-BIOSYNTHESIS-II: NAD salvage pathway II|g__Bifidobacterium.s__Bifidobacterium_biavatii	361	0	0	0	0	0	55.6866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAD-BIOSYNTHESIS-II: NAD salvage pathway II|g__Citrobacter.s__Citrobacter_europaeus	362	0	0	0	0	0	0	0	0	0	0	0	6.61035	0	0	0	0	0	0	0	0	0
NAD-BIOSYNTHESIS-II: NAD salvage pathway II|g__Citrobacter.s__Citrobacter_portucalensis	363	0	0	0	0	0	0	0	0	0	0	0	11.9991	0	0	0	0	0	0	0	0	0
NAD-BIOSYNTHESIS-II: NAD salvage pathway II|g__Citrobacter.s__Citrobacter_youngae	364	0	0	0	0	0	0	0	0	0	0	0	6.36484	0	0	0	0	0	0	0	0	0
NAD-BIOSYNTHESIS-II: NAD salvage pathway II|g__Escherichia.s__Escherichia_coli	365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.80725	0	0	0	0	0	0
NAD-BIOSYNTHESIS-II: NAD salvage pathway II|g__Ewingella.s__Ewingella_americana	366	0	0	0	0	0	0	0	0	0	0	0	21.66	0	0	0	0	0	0	0	0	0
NAD-BIOSYNTHESIS-II: NAD salvage pathway II|g__Kluyvera.s__Kluyvera_ascorbata	367	0	0	0	0	0	0	0	0	0	0	0	18.3076	0	0	0	0	0	0	0	0	0
NAD-BIOSYNTHESIS-II: NAD salvage pathway II|unclassified	368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.8642	0	0	0	0	0
NAGLIPASYN-PWY: lipid IVA biosynthesis	369	0	0	0	0	0	0	0	0	0	0	0	43.4203	16.451	50.6301	41.2653	23.0829	0	0	0	0	0
NAGLIPASYN-PWY: lipid IVA biosynthesis|g__Pseudomonas.s__Pseudomonas_helleri	370	0	0	0	0	0	0	0	0	0	0	0	0	10.5679	0	0	0	0	0	0	0	0
NAGLIPASYN-PWY: lipid IVA biosynthesis|g__Serratia.s__Serratia_marcescens	371	0	0	0	0	0	0	0	0	0	0	0	0	0	50.6301	25.5273	0	0	0	0	0	0
NAGLIPASYN-PWY: lipid IVA biosynthesis|unclassified	372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.53403	14.1845	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I	373	0	0	0	0	0	54.2616	0	0	0	0	0	0	0	0	20.4753	37.8959	0	0	0	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)	374	49.3076	0	0	0	0	30.3344	0	0	0	37.3807	0	113.889	169.722	149.621	181.524	166.165	80.2083	0	53.4167	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Burkholderia.s__Burkholderia_vietnamiensis	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.7818	0	0	0	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Citrobacter.s__Citrobacter_portucalensis	376	0	0	0	0	0	0	0	0	0	0	0	5.68625	0	0	0	0	0	0	0	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Enterococcus.s__Enterococcus_casseliflavus	377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.77636	0	0	0	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Enterococcus.s__Enterococcus_faecalis	378	0	0	0	0	0	0	0	0	0	0	0	0	14.6141	0	0	0	0	0	0	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Enterococcus.s__Enterococcus_italicus	379	0	0	0	0	0	0	0	0	0	0	0	0	12.2881	0	0	0	0	0	0	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Escherichia.s__Escherichia_coli	380	0	0	0	0	0	0	0	0	0	0	0	0	27.3224	0	31.5292	0	0	0	0	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Ewingella.s__Ewingella_americana	381	0	0	0	0	0	0	0	0	0	0	0	52.854	0	0	0	0	0	0	0	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Leuconostoc.s__Leuconostoc_citreum	382	0	0	0	0	0	0	0	0	0	0	0	0	39.9131	25.5358	15.8605	0	0	0	0	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Paraburkholderia.s__Paraburkholderia_insulsa	383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67.1626	0	0	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Pseudomonas.s__Pseudomonas_helleri	384	0	0	0	0	0	0	0	0	0	0	0	0	15.8351	0	0	16.5253	0	0	0	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Serratia.s__Serratia_marcescens	385	0	0	0	0	0	0	0	0	0	0	0	0	0	84.9041	77.8693	0	0	0	0	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|unclassified	386	30.8827	0	0	0	0	22.9956	0	0	0	36.5079	0	15.6775	14.1386	0	27.7131	86.0541	0	0	38.395	0	0
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	387	86.9934	206.742	59.3417	0	0	158.823	0	0	0	23.8076	0	22.4942	135.564	68.3455	63.6703	157.126	84.2012	0	0	0	0
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Enterococcus.s__Enterococcus_faecalis	388	0	0	0	0	0	0	0	0	0	0	0	0	7.19993	0	0	0	0	0	0	0	0
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|unclassified	389	0	0	0	0	0	44.9246	0	0	0	0	0	0	0	0	15.3514	70.6909	0	0	0	0	0
ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation	390	0	0	0	0	0	0	0	0	0	0	0	31.2135	29.8938	0	17.8386	23.2731	0	0	0	0	0
ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation|unclassified	391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.43605	0	0	0	0	0	0
ORNDEG-PWY: superpathway of ornithine degradation	392	0	0	0	0	0	0	0	0	0	0	0	35.4934	71.7132	0	85.9371	0	0	0	0	0	0
ORNDEG-PWY: superpathway of ornithine degradation|g__Escherichia.s__Escherichia_coli	393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.3298	0	0	0	0	0	0
ORNDEG-PWY: superpathway of ornithine degradation|unclassified	394	0	0	0	0	0	0	0	0	0	0	0	0	18.0314	0	30.9292	0	0	0	0	0	0
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)	395	0	0	0	0	0	0	0	0	0	0	0	46.3011	21.7732	0	0	81.2873	0	0	0	0	0
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)|unclassified	396	0	0	0	0	0	0	0	0	0	0	0	0	3.90359	0	0	40.8758	0	0	0	0	0
P108-PWY: pyruvate fermentation to propanoate I	397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4996	0	0	0	0	0
P108-PWY: pyruvate fermentation to propanoate I|unclassified	398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.43897	0	0	0	0	0
P122-PWY: heterolactic fermentation	399	0	0	0	0	0	0	0	0	0	0	0	29.7378	20.3052	0	14.7882	0	0	0	0	0	0
P124-PWY: Bifidobacterium shunt	400	0	162.8	74.3707	0	0	74.7423	0	0	0	0	0	0	56.806	0	16.3419	0	0	0	0	0	0
P125-PWY: superpathway of (R,R)-butanediol biosynthesis	401	38.9487	0	0	0	0	0	0	0	0	0	0	0	83.3273	28.0604	1.90412	0	0	0	0	0	0
P125-PWY: superpathway of (R,R)-butanediol biosynthesis|g__Enterococcus.s__Enterococcus_italicus	402	0	0	0	0	0	0	0	0	0	0	0	0	24.3099	0	0	0	0	0	0	0	0
P161-PWY: acetylene degradation	403	0	0	0	0	0	0	0	0	0	0	0	53.0958	79.8248	98.1351	69.5326	107.923	0	0	0	0	0
P161-PWY: acetylene degradation|g__Escherichia.s__Escherichia_coli	404	0	0	0	0	0	0	0	0	0	0	0	0	9.98236	0	4.08889	0	0	0	0	0	0
P161-PWY: acetylene degradation|g__Ewingella.s__Ewingella_americana	405	0	0	0	0	0	0	0	0	0	0	0	13.1423	0	0	0	0	0	0	0	0	0
P161-PWY: acetylene degradation|g__Serratia.s__Serratia_marcescens	406	0	0	0	0	0	0	0	0	0	0	0	0	0	98.1351	22.7372	0	0	0	0	0	0
P161-PWY: acetylene degradation|unclassified	407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.3689	53.3248	0	0	0	0	0
P164-PWY: purine nucleobases degradation I (anaerobic)	408	0	0	0	0	0	0	0	0	0	0	0	0	35.2244	0	46.0165	0	0	0	0	0	0
P164-PWY: purine nucleobases degradation I (anaerobic)|unclassified	409	0	0	0	0	0	0	0	0	0	0	0	0	9.32232	0	0	0	0	0	0	0	0
P165-PWY: superpathway of purines degradation in plants	410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.1179	0	0	0	0	0
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)	411	0	0	0	0	0	0	0	0	0	0	0	29.8328	0	0	0	0	0	0	0	0	0
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)|g__Ewingella.s__Ewingella_americana	412	0	0	0	0	0	0	0	0	0	0	0	24.2436	0	0	0	0	0	0	0	0	0
P221-PWY: octane oxidation	413	0	0	0	0	0	0	0	0	0	0	0	0	18.8266	0	9.24793	29.4401	0	0	0	0	0
P221-PWY: octane oxidation|unclassified	414	0	0	0	0	0	0	0	0	0	0	0	0	2.08933	0	8.38091	11.9444	0	0	0	0	0
P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	415	0	0	0	0	0	0	0	0	0	0	0	63.0045	95.6168	107.498	84.9145	103.27	0	0	0	0	0
P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I|g__Serratia.s__Serratia_marcescens	416	0	0	0	0	0	0	0	0	0	0	0	0	0	63.307	31.8195	0	0	0	0	0	0
P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I|unclassified	417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.947	0	0	0	0	0
P42-PWY: incomplete reductive TCA cycle	418	0	0	0	0	0	0	0	0	0	0	0	26.4238	9.90703	0	38.5079	0	0	0	0	0	0
P42-PWY: incomplete reductive TCA cycle|unclassified	419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3296	0	0	0	0	0	0
P441-PWY: superpathway of N-acetylneuraminate degradation	420	0	0	0	0	0	0	0	0	0	0	0	57.8289	55.117	0	30.0435	45.2788	0	0	0	0	0
P441-PWY: superpathway of N-acetylneuraminate degradation|unclassified	421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.82907	32.4771	0	0	0	0	0
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate	422	0	0	0	0	0	0	0	0	0	0	0	47.8047	90.5499	86.3199	70.1612	63.398	0	0	0	0	0
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate|g__Escherichia.s__Escherichia_coli	423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.0242	0	0	0	0	0	0
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate|g__Serratia.s__Serratia_marcescens	424	0	0	0	0	0	0	0	0	0	0	0	0	0	78.3545	34.4924	0	0	0	0	0	0
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate|unclassified	425	0	0	0	0	0	0	0	0	0	0	0	0	11.2777	0	0	41.236	0	0	0	0	0
P562-PWY: myo-inositol degradation I	426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.664	0	0	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I	427	42.7609	71.9693	39.7499	0	0	37.4666	0	0	0	0	0	45.7403	103.096	47.0118	63.2844	41.6383	121.675	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Escherichia.s__Escherichia_coli	428	0	0	0	0	0	0	0	0	0	0	0	0	29.089	0	24.5951	0	0	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Ewingella.s__Ewingella_americana	429	0	0	0	0	0	0	0	0	0	0	0	26.1176	0	0	0	0	0	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Paraburkholderia.s__Paraburkholderia_fungorum	430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.4717	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Paraburkholderia.s__Paraburkholderia_insulsa	431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90.1903	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Pseudomonas.s__Pseudomonas_helleri	432	0	0	0	0	0	0	0	0	0	0	0	0	27.2738	0	0	14.3582	0	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Serratia.s__Serratia_marcescens	433	0	0	0	0	0	0	0	0	0	0	0	0	0	44.3134	17.096	0	0	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|unclassified	434	0	35.8749	0	0	0	0	0	0	0	0	0	0	0	0	19.5777	9.66107	0	0	0	0	0
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I	435	0	37.8572	0	0	0	0	0	0	0	0	0	40.3233	92.4502	0	67.7167	49.9138	99.3591	0	0	0	0
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Ewingella.s__Ewingella_americana	436	0	0	0	0	0	0	0	0	0	0	0	23.6357	0	0	0	0	0	0	0	0	0
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Paraburkholderia.s__Paraburkholderia_insulsa	437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84.9914	0	0	0	0
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Serratia.s__Serratia_marcescens	438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1217	0	0	0	0	0	0
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|unclassified	439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.482	7.61161	0	0	0	0	0
PENTOSE-P-PWY: pentose phosphate pathway	440	39.3964	0	0	0	0	37.1673	0	0	0	0	0	55.9631	25.1572	86.7378	100.842	63.0276	0	0	0	0	0
PENTOSE-P-PWY: pentose phosphate pathway|g__Serratia.s__Serratia_marcescens	441	0	0	0	0	0	0	0	0	0	0	0	0	0	51.7155	36.0951	0	0	0	0	0	0
PENTOSE-P-PWY: pentose phosphate pathway|unclassified	442	0	0	0	0	0	24.8318	0	0	0	0	0	0	0	0	4.94905	33.2707	0	0	0	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	443	0	52.5345	0	0	0	117.296	0	0	0	0	0	53.7717	137.498	96.7699	90.5765	123.103	62.6087	0	0	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Leuconostoc.s__Leuconostoc_citreum	444	0	0	0	0	0	0	0	0	0	0	0	0	44.3475	39.7024	21.9979	29.2184	0	0	0	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Pseudomonas.s__Pseudomonas_helleri	445	0	0	0	0	0	0	0	0	0	0	0	0	18.0161	0	0	0	0	0	0	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Serratia.s__Serratia_marcescens	446	0	0	0	0	0	0	0	0	0	0	0	0	0	39.0378	20.444	0	0	0	0	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|unclassified	447	0	0	0	0	0	74.1855	0	0	0	0	0	0	0	0	13.4252	42.7981	0	0	0	0	0
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	448	0	0	0	0	0	0	0	0	0	0	0	68.3311	142.859	95.5428	83.4561	77.4407	0	0	0	0	0
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)|g__Escherichia.s__Escherichia_coli	449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.76777	0	0	0	0	0	0
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)|g__Pseudomonas.s__Pseudomonas_helleri	450	0	0	0	0	0	0	0	0	0	0	0	0	11.2377	0	0	10.8296	0	0	0	0	0
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)|g__Serratia.s__Serratia_marcescens	451	0	0	0	0	0	0	0	0	0	0	0	0	0	79.6983	37.7215	0	0	0	0	0	0
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)|unclassified	452	0	0	0	0	0	0	0	0	0	0	0	33.7701	0	0	10.3427	34.8802	0	0	0	0	0
PHOTOALL-PWY: oxygenic photosynthesis	453	0	0	0	0	0	0	0	0	0	11.9368	0	0	0	0	0	0	0	0	0	0	0
PHOTOALL-PWY: oxygenic photosynthesis|unclassified	454	0	0	0	0	0	0	0	0	0	11.9368	0	0	0	0	0	0	0	0	0	0	0
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I	455	0	0	0	0	0	0	0	0	0	0	0	29.6733	59.2899	68.4563	82.2184	22.0517	0	0	0	0	0
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I|g__Escherichia.s__Escherichia_coli	456	0	0	0	0	0	0	0	0	0	0	0	0	21.0245	0	8.37106	0	0	0	0	0	0
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I|g__Serratia.s__Serratia_marcescens	457	0	0	0	0	0	0	0	0	0	0	0	0	0	68.4563	38.0954	0	0	0	0	0	0
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I|unclassified	458	0	0	0	0	0	0	0	0	0	0	0	0	11.7936	0	24.7936	0	0	0	0	0	0
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)	459	0	0	0	0	0	0	0	0	0	0	0	27.3418	44.4837	0	18.7243	28.179	0	0	0	0	0
PPGPPMET-PWY: ppGpp biosynthesis	460	0	0	0	0	0	0	0	0	0	0	0	64.2566	3.43079	0	4.8868	8.93543	0	0	0	0	0
PPGPPMET-PWY: ppGpp biosynthesis|g__Citrobacter.s__Citrobacter_europaeus	461	0	0	0	0	0	0	0	0	0	0	0	2.61968	0	0	0	0	0	0	0	0	0
PPGPPMET-PWY: ppGpp biosynthesis|g__Ewingella.s__Ewingella_americana	462	0	0	0	0	0	0	0	0	0	0	0	25.4504	0	0	0	0	0	0	0	0	0
PPGPPMET-PWY: ppGpp biosynthesis|g__Kluyvera.s__Kluyvera_ascorbata	463	0	0	0	0	0	0	0	0	0	0	0	10.6981	0	0	0	0	0	0	0	0	0
PPGPPMET-PWY: ppGpp biosynthesis|unclassified	464	0	0	0	0	0	0	0	0	0	0	0	7.688	3.20146	0	3.74584	8.47876	0	0	0	0	0
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway)	465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.1886	33.6445	0	0	0	0	0
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway)|g__Burkholderia.s__Burkholderia_vietnamiensis	466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.7872	0	0	0	0	0
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway)|unclassified	467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.2754	0	0	0	0	0
PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis	468	0	0	0	0	0	0	0	0	0	0	0	71.6576	100.858	0	93.3877	0	0	0	0	0	0
PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis|g__Serratia.s__Serratia_marcescens	469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.3984	0	0	0	0	0	0
PWY-101: photosynthesis light reactions	470	0	0	0	0	0	0	0	0	0	17.3458	0	0	0	0	0	0	0	0	0	0	0
PWY-101: photosynthesis light reactions|unclassified	471	0	0	0	0	0	0	0	0	0	17.3458	0	0	0	0	0	0	0	0	0	0	0
PWY-1042: glycolysis IV (plant cytosol)	472	80.4188	0	88.8234	0	0	97.8985	0	0	0	93.6847	0	85.1421	97.2215	77.5474	80.3267	140.012	0	0	0	0	0
PWY-1042: glycolysis IV (plant cytosol)|g__Citrobacter.s__Citrobacter_portucalensis	473	0	0	0	0	0	0	0	0	0	0	0	4.56341	0	0	0	0	0	0	0	0	0
PWY-1042: glycolysis IV (plant cytosol)|g__Escherichia.s__Escherichia_coli	474	0	0	0	0	0	0	0	0	0	0	0	0	44.7751	0	14.2503	0	0	0	0	0	0
PWY-1042: glycolysis IV (plant cytosol)|g__Ewingella.s__Ewingella_americana	475	0	0	0	0	0	0	0	0	0	0	0	33.3494	0	0	0	0	0	0	0	0	0
PWY-1042: glycolysis IV (plant cytosol)|g__Kluyvera.s__Kluyvera_ascorbata	476	0	0	0	0	0	0	0	0	0	0	0	20.4641	0	0	0	0	0	0	0	0	0
PWY-1042: glycolysis IV (plant cytosol)|g__Serratia.s__Serratia_marcescens	477	0	0	0	0	0	0	0	0	0	0	0	0	0	77.5474	37.158	0	0	0	0	0	0
PWY-1042: glycolysis IV (plant cytosol)|unclassified	478	66.806	0	0	0	0	59.6716	0	0	0	92.2355	0	0	1.85812	0	13.7188	104.799	0	0	0	0	0
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I	479	0	0	0	0	0	0	0	0	0	0	0	55.6673	46.3509	97.2005	91.099	36.1885	0	0	0	0	0
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I|g__Escherichia.s__Escherichia_coli	480	0	0	0	0	0	0	0	0	0	0	0	0	29.2632	0	4.09243	0	0	0	0	0	0
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I|g__Ewingella.s__Ewingella_americana	481	0	0	0	0	0	0	0	0	0	0	0	19.3321	0	0	0	0	0	0	0	0	0
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I|g__Pseudomonas.s__Pseudomonas_helleri	482	0	0	0	0	0	0	0	0	0	0	0	0	14.5324	0	0	0	0	0	0	0	0
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I|g__Serratia.s__Serratia_marcescens	483	0	0	0	0	0	0	0	0	0	0	0	0	0	97.2005	54.6166	0	0	0	0	0	0
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I|unclassified	484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.2411	26.0362	0	0	0	0	0
PWY-1861: formaldehyde assimilation II (RuMP Cycle)	485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.7159	0	0	0	0	0	0
PWY-1861: formaldehyde assimilation II (RuMP Cycle)|g__Escherichia.s__Escherichia_coli	486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.3848	0	0	0	0	0	0
PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type	487	0	0	0	0	0	32.2919	0	51.3745	0	14.0593	0	20.4012	53.109	0	23.2912	86.3515	0	0	0	0	0
PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type|unclassified	488	0	0	0	0	0	29.7225	0	45.4736	0	14.0593	0	0	0	0	0	12.0752	0	0	0	0	0
PWY-2723: trehalose degradation V	489	50.5004	52.0185	42.1035	0	0	132.013	0	0	0	0	0	24.4547	10.8066	0	37.3482	0	0	0	0	0	0
PWY-2723: trehalose degradation V|g__Bifidobacterium.s__Bifidobacterium_biavatii	490	0	39.5183	0	0	0	79.7606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-2723: trehalose degradation V|unclassified	491	0	0	0	0	0	32.2792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-2941: L-lysine biosynthesis II	492	0	0	0	0	0	37.6343	0	0	0	0	0	0	105.459	98.2828	75.7268	134.108	0	0	0	0	0
PWY-2941: L-lysine biosynthesis II|g__Enterococcus.s__Enterococcus_faecalis	493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.95046	0	0	0	0	0	0
